ID,y
17917,19.606
17955,30.19916
17958,27.09187
17973,41.17749
17988,18.47994
17995,31.84563
18023,31.40429
18040,39.89254
18066,12.60245
18076,28.51724
18124,36.31631
18136,19.42752
18146,28.85349
18215,26.98651
18230,17.486
18239,16.16682
18243,26.56228
18251,31.92547
18289,25.13915
18298,26.84575
18324,32.13359
18338,22.08833
18342,26.84143
18350,33.31036
18362,19.30823
18380,27.19139
18411,19.57501
18413,20.45822
18415,32.34141
18437,28.15041
18447,27.40092
18456,32.08694
18488,29.71036
18496,35.53835
18503,33.28977
18545,25.99188
18559,18.47204
18564,29.76058
18571,22.90803
18572,21.96812
18608,25.40215
18637,29.95308
18653,36.19674
18685,27.87143
18704,18.26019
18727,20.16736
18735,34.18224
18739,28.90143
18746,25.05713
18769,38.50463
18777,18.3397
18781,33.37682
18783,36.06414
18794,26.56431
18799,20.84872
18872,35.27247
18881,28.14537
18942,32.47142
18989,28.68455
19010,24.55372
19050,27.2711
19051,20.57973
19059,14.70601
19066,26.35498
19102,30.41271
19117,26.16813
19125,31.47947
19185,35.80812
19217,26.37113
19241,28.09635
19271,23.21636
19275,31.64809
19287,42.92795
19292,31.97318
19293,32.83961
19324,39.73589
19336,37.03151
19337,36.69578
19344,34.48723
19382,41.83766
19394,26.90407
19409,27.29347
19426,28.16887
19427,29.28927
19454,37.02923
19468,27.03257
19476,33.52814
19486,32.56752
19494,27.20863
19504,26.18469
19545,34.37284
19556,28.1764
19569,34.3854
19615,42.57318
19658,31.29405
19676,20.55664
19679,24.56261
19698,30.78845
19726,33.35452
19758,33.29431
19760,39.44728
19761,35.89206
19779,26.84245
19814,37.03427
19819,28.42764
19821,31.54628
19830,41.99101
19838,30.41609
19869,20.97008
19878,32.66116
19886,24.50628
19920,33.76497
19952,19.04889
19963,29.54964
19967,26.71956
19994,36.89186
20067,18.01319
20068,14.93496
20070,23.50208
20086,23.58347
20121,36.92996
20187,22.31656
20194,32.47237
20199,25.43254
20258,29.97084
20295,31.61162
20305,33.92237
20342,26.7816
20351,37.89086
20387,17.25324
20449,22.98492
20458,21.90932
20474,37.92612
20478,31.48438
20500,34.48853
20501,24.44321
20512,23.67375
20546,32.81765
20573,28.22565
20611,35.83111
20620,44.26671
20635,29.20405
20662,33.00227
20680,33.40676
20690,22.1531
20700,31.37106
20702,28.48539
20708,42.18788
20720,38.04826
20809,32.82073
20826,42.30819
20858,38.53324
20863,21.79675
20886,35.4021
20901,28.42066
20911,40.95568
20941,29.42546
20967,32.29826
21007,33.09477
21037,34.15343
21053,35.85817
21064,31.90114
21068,31.99709
21071,38.56992
